ParkCode,Month,StateCode,Full Name,Lat,Lon,Name,Latitude,Longitude,Population,Total Visitors
agfo,1,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,325160
agfo,2,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,408618
agfo,3,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,833566
agfo,4,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,893558
agfo,5,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,1557746
agfo,6,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,2825872
agfo,7,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,4201409
agfo,8,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,3192593
agfo,9,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,2029231
agfo,10,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,1120572
agfo,11,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,593559
agfo,12,NE,Agate Fossil Beds National Monument,42.42170419,-103.753886,Nebraska,41.5378,-99.7951,1893921.0,482091
apis,1,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,325160
apis,2,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,408618
apis,3,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,833566
apis,4,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,893558
apis,5,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,1557746
apis,6,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,2825872
apis,7,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,4201409
apis,8,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,3192593
apis,9,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,2029231
apis,10,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,1120572
apis,11,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,593559
apis,12,WI,Apostle Islands National Lakeshore,46.96240467,-90.66045665,Wisconsin,44.6243,-89.9941,5763217.0,482091
badl,1,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,325160
badl,2,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,408618
badl,3,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,833566
badl,4,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,893558
badl,5,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,1557746
badl,6,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,2825872
badl,7,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,4201409
badl,8,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,3192593
badl,9,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,2029231
badl,10,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,1120572
badl,11,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,593559
badl,12,SD,Badlands National Park,43.68584846,-102.482942,South Dakota,44.4443,-100.2263,855444.0,482091
