Month,ParkCode,Full Name,Lat,Lon,State Code,Name,Latitude,Longitude,Total Visitors,Population
1,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,10212361,4424376.0
2,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,12927163,4424376.0
3,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,20698590,4424376.0
4,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,26131016,4424376.0
5,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,31066774,4424376.0
6,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,40206974,4424376.0
7,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,43357526,4424376.0
8,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,39287542,4424376.0
9,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,31349153,4424376.0
10,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,26646960,4424376.0
11,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,18794009,4424376.0
12,ABLI,Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,KY,Kentucky,37.5347,-85.3021,15199421,4424376.0
1,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,10212361,1330158.0
2,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,12927163,1330158.0
3,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,20698590,1330158.0
4,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,26131016,1330158.0
5,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,31066774,1330158.0
6,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,40206974,1330158.0
7,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,43357526,1330158.0
8,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,39287542,1330158.0
9,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,31349153,1330158.0
10,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,26646960,1330158.0
11,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,18794009,1330158.0
12,ACAD,Acadia National Park,44.30777545,-68.30063316,ME,Maine,45.3695,-69.2428,15199421,1330158.0
1,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,10212361,6789319.0
2,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,12927163,6789319.0
3,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,20698590,6789319.0
4,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,26131016,6789319.0
5,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,31066774,6789319.0
6,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,40206974,6789319.0
7,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,43357526,6789319.0
8,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,39287542,6789319.0
9,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,31349153,6789319.0
10,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,26646960,6789319.0
11,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,18794009,6789319.0
12,ADAM,Adams National Historical Park,42.2553961,-71.01160356,MA,Massachusetts,42.2596,-71.8083,15199421,6789319.0
1,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,10212361,19798228.0
2,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,12927163,19798228.0
3,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,20698590,19798228.0
4,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,26131016,19798228.0
5,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,31066774,19798228.0
6,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,40206974,19798228.0
7,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,43357526,19798228.0
8,AFBG,African Burial Ground National Monument,40.71452681,-74.00447358,NY,New York,42.9538,-75.5268,39287542,19798228.0
