Full Name,Park Code,State_code
Charles Young Buffalo Soldiers National Monument,chyo,OH
Charles Young Buffalo Soldiers National Monument,chyo,OH
Cuyahoga Valley National Park,cuva,OH
Cuyahoga Valley National Park,cuva,OH
David Berger National Memorial,dabe,OH
David Berger National Memorial,dabe,OH
Dayton Aviation Heritage National Historical Park,daav,OH
Dayton Aviation Heritage National Historical Park,daav,OH
Fallen Timbers Battlefield and Fort Miamis National Historic Site,fati,OH
Fallen Timbers Battlefield and Fort Miamis National Historic Site,fati,OH
First Ladies National Historic Site,fila,OH
First Ladies National Historic Site,fila,OH
Hopewell Culture National Historical Park,hocu,OH
Hopewell Culture National Historical Park,hocu,OH
James A Garfield National Historic Site,jaga,OH
James A Garfield National Historic Site,jaga,OH
Lewis & Clark National Historic Trail,lecl,NE
Lewis & Clark National Historic Trail,lecl,NE
National Aviation Heritage Area,avia,OH
National Aviation Heritage Area,avia,OH
North Country National Scenic Trail,noco,MI
North Country National Scenic Trail,noco,MI
Perry's Victory & International Peace Memorial,pevi,OH
Perry's Victory & International Peace Memorial,pevi,OH
William Howard Taft National Historic Site,wiho,OH
William Howard Taft National Historic Site,wiho,OH
