,State,ParkCode,Full Name,Lat,Lon
0,ND,fous,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
1,ND,knri,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
2,ND,thro,Theodore Roosevelt National Park,47.17777274,-103.4300083
3,SD,badl,Badlands National Park,43.68584846,-102.482942
4,SD,jeca,Jewel Cave National Monument,43.73102945,-103.829994
5,SD,mimi,Minuteman Missile National Historic Site,43.89558013,-102.0272131
6,SD,mnrr,Missouri National Recreational River,42.7882189,-97.59077822
7,SD,moru,Mount Rushmore National Memorial,43.88037021,-103.4525186
8,SD,wica,Wind Cave National Park,43.58012365,-103.4394709
9,NE,agfo,Agate Fossil Beds National Monument,42.42170419,-103.753886
10,NE,home,Homestead National Monument of America,40.28802381,-96.83387781
11,NE,lecl,Lewis & Clark National Historic Trail,41.2646141052246,-95.9245147705078
12,NE,niob,Niobrara National Scenic River,42.79413083,-99.91870646
13,NE,scbl,Scotts Bluff National Monument,41.83464193,-103.7071351
14,KS,brvb,Brown v. Board of Education National Historic Site,39.03787665,-95.67614437
15,KS,fols,Fort Larned National Historic Site,38.18047491,-99.21836664
16,KS,fosc,Fort Scott National Historic Site,37.84358849,-94.70429174
17,KS,nico,Nicodemus National Historic Site,39.39167606,-99.61680329
18,KS,tapr,Tallgrass Prairie National Preserve,38.44023613,-96.5670822
19,MO,jeff,Gateway Arch National Park,38.6258069,-90.1892508
20,MO,gwca,George Washington Carver National Monument,36.9871322,-94.35522737
21,MO,hstr,Harry S Truman National Historic Site,38.92711967,-94.5162488
22,MO,ozar,Ozark National Scenic Riverways,37.13968894,-91.25709817
23,MO,ulsg,Ulysses S Grant National Historic Site,38.55182374,-90.35169255
24,MO,wicr,Wilson's Creek National Battlefield,37.1000127,-93.40986704
25,IA,efmo,Effigy Mounds National Monument,43.08095081,-91.19687517
26,IA,heho,Herbert Hoover National Historic Site,41.66793558,-91.35232139
27,MN,grpo,Grand Portage National Monument,47.99294217,-89.75573031
28,MN,miss,Mississippi National River and Recreation Area,44.942487,-93.098712
29,MN,pipe,Pipestone National Monument,44.01351958,-96.32475523
30,MN,voya,Voyageurs National Park,48.48370609,-92.8382913
31,WI,apis,Apostle Islands National Lakeshore,46.96240467,-90.66045665
32,WI,sacn,Saint Croix National Scenic Riverway,45.70019235,-92.36126685
33,MI,isro,Isle Royale National Park,48.01145819,-88.82780657
34,MI,kewe,Keweenaw National Historical Park,47.1792308,-88.52275344
35,MI,auto,Motor Cities National Heritage Area,42.518180847168,-83.8187713623047
36,MI,piro,Pictured Rocks National Lakeshore,46.56435642,-86.31628733
37,MI,rira,River Raisin National Battlefield Park,41.91291085,-83.37620464
38,MI,slbe,Sleeping Bear Dunes National Lakeshore,44.92844962,-86.02706591
39,IL,liho,Lincoln Home National Historic Site,39.79715642,-89.64513397
40,IL,pull,Pullman National Monument,41.69429163,-87.60873824
41,IN,gero,George Rogers Clark National Historical Park,38.67912659,-87.53545212
42,IN,indu,Indiana Dunes National Park,41.63765525,-87.09647445
43,IN,libo,Lincoln Boyhood National Memorial,38.11817004,-86.99656861
44,OH,chyo,Charles Young Buffalo Soldiers National Monument,39.70817829,-83.89328575
45,OH,cuva,Cuyahoga Valley National Park,41.26093905,-81.57116722
46,OH,dabe,David Berger National Memorial,41.47369879,-81.49133831
47,OH,daav,Dayton Aviation Heritage National Historical Park,39.78944467,-84.10442045
48,OH,fati,Fallen Timbers Battlefield and Fort Miamis National Historic Site,41.5441665649414,-83.6975021362305
49,OH,fila,First Ladies National Historic Site,40.79689857,-81.37579869
50,OH,hocu,Hopewell Culture National Historical Park,39.31594374,-83.08049456
51,OH,jaga,James A Garfield National Historic Site,41.66486549,-81.35086557
52,OH,avia,National Aviation Heritage Area,39.9818229675293,-84.0711364746094
53,OH,pevi,Perry's Victory & International Peace Memorial,41.65449782,-82.8115794
54,OH,wiho,William Howard Taft National Historic Site,39.11970352,-84.50758951
