,ParkCode,Month,Visitors,StateCode,Full Name,Lat,Lon
0,wefa,0,930,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
1,wefa,1,800,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
2,wefa,2,1156,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
3,wefa,3,2510,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
4,wefa,4,4972,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
5,wefa,5,5404,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
6,wefa,6,5079,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
7,wefa,7,6197,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
8,wefa,8,4180,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
9,wefa,9,5297,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
10,wefa,10,1150,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
11,wefa,11,1025,CT,Weir Farm National Historic Site,41.25886268,-73.45452542
12,acad,0,8532,ME,Acadia National Park,44.30777545,-68.30063316
13,acad,1,9154,ME,Acadia National Park,44.30777545,-68.30063316
14,acad,2,20161,ME,Acadia National Park,44.30777545,-68.30063316
15,acad,3,68046,ME,Acadia National Park,44.30777545,-68.30063316
16,acad,4,226156,ME,Acadia National Park,44.30777545,-68.30063316
17,acad,5,490720,ME,Acadia National Park,44.30777545,-68.30063316
18,acad,6,756439,ME,Acadia National Park,44.30777545,-68.30063316
19,acad,7,759735,ME,Acadia National Park,44.30777545,-68.30063316
20,acad,8,603273,ME,Acadia National Park,44.30777545,-68.30063316
21,acad,9,436194,ME,Acadia National Park,44.30777545,-68.30063316
22,acad,10,46011,ME,Acadia National Park,44.30777545,-68.30063316
23,acad,11,12865,ME,Acadia National Park,44.30777545,-68.30063316
24,sacr,0,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
25,sacr,1,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
26,sacr,2,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
27,sacr,3,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
28,sacr,4,1052,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
29,sacr,5,1644,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
30,sacr,6,2671,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
31,sacr,7,2657,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
32,sacr,8,2251,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
33,sacr,9,1338,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
34,sacr,10,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
35,sacr,11,0,ME,Saint Croix Island International Historic Site,45.12858838,-67.13363651
36,adam,0,27,MA,Adams National Historical Park,42.2553961,-71.01160356
37,adam,1,179,MA,Adams National Historical Park,42.2553961,-71.01160356
38,adam,2,253,MA,Adams National Historical Park,42.2553961,-71.01160356
39,adam,3,537,MA,Adams National Historical Park,42.2553961,-71.01160356
40,adam,4,13187,MA,Adams National Historical Park,42.2553961,-71.01160356
41,adam,5,23963,MA,Adams National Historical Park,42.2553961,-71.01160356
42,adam,6,75333,MA,Adams National Historical Park,42.2553961,-71.01160356
43,adam,7,26011,MA,Adams National Historical Park,42.2553961,-71.01160356
44,adam,8,19602,MA,Adams National Historical Park,42.2553961,-71.01160356
