,ParkCode,Month,Visitors,State,Full Name,Lat,Lon
0,fous,1,34,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
1,fous,2,34,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
2,fous,3,196,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
3,fous,4,385,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
4,fous,5,2169,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
5,fous,6,3656,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
6,fous,7,2517,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
7,fous,8,1902,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
8,fous,9,1351,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
9,fous,10,462,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
10,fous,11,162,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
11,fous,12,99,ND,Fort Union Trading Post National Historic Site,48.00075828,-104.0375238
12,knri,1,18,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
13,knri,2,24,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
14,knri,3,106,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
15,knri,4,256,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
16,knri,5,1312,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
17,knri,6,1998,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
18,knri,7,3030,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
19,knri,8,1853,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
20,knri,9,1196,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
21,knri,10,364,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
22,knri,11,141,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
23,knri,12,56,ND,Knife River Indian Villages National Historic Site,47.3540219,-101.3860533
24,thro,1,2515,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
25,thro,2,1187,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
26,thro,3,5935,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
27,thro,4,10516,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
28,thro,5,75682,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
29,thro,6,134590,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
30,thro,7,149425,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
31,thro,8,135584,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
32,thro,9,110576,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
33,thro,10,46043,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
34,thro,11,17086,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
35,thro,12,2519,ND,Theodore Roosevelt National Park,47.17777274,-103.4300083
36,badl,1,8981,SD,Badlands National Park,43.68584846,-102.482942
37,badl,2,8059,SD,Badlands National Park,43.68584846,-102.482942
38,badl,3,16517,SD,Badlands National Park,43.68584846,-102.482942
39,badl,4,25083,SD,Badlands National Park,43.68584846,-102.482942
40,badl,5,71885,SD,Badlands National Park,43.68584846,-102.482942
41,badl,6,201516,SD,Badlands National Park,43.68584846,-102.482942
42,badl,7,250898,SD,Badlands National Park,43.68584846,-102.482942
43,badl,8,207743,SD,Badlands National Park,43.68584846,-102.482942
44,badl,9,118262,SD,Badlands National Park,43.68584846,-102.482942
45,badl,10,37727,SD,Badlands National Park,43.68584846,-102.482942
46,badl,11,15450,SD,Badlands National Park,43.68584846,-102.482942
47,badl,12,8877,SD,Badlands National Park,43.68584846,-102.482942
48,jeca,1,12,SD,Jewel Cave National Monument,43.73102945,-103.829994
49,jeca,2,143,SD,Jewel Cave National Monument,43.73102945,-103.829994
50,jeca,3,2057,SD,Jewel Cave National Monument,43.73102945,-103.829994
51,jeca,4,2811,SD,Jewel Cave National Monument,43.73102945,-103.829994
52,jeca,5,8674,SD,Jewel Cave National Monument,43.73102945,-103.829994
53,jeca,6,29473,SD,Jewel Cave National Monument,43.73102945,-103.829994
54,jeca,7,47830,SD,Jewel Cave National Monument,43.73102945,-103.829994
55,jeca,8,18656,SD,Jewel Cave National Monument,43.73102945,-103.829994
56,jeca,9,10057,SD,Jewel Cave National Monument,43.73102945,-103.829994
57,jeca,10,2845,SD,Jewel Cave National Monument,43.73102945,-103.829994
58,jeca,11,832,SD,Jewel Cave National Monument,43.73102945,-103.829994
59,jeca,12,99,SD,Jewel Cave National Monument,43.73102945,-103.829994
60,mimi,1,32,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
61,mimi,2,299,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
62,mimi,3,1062,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
63,mimi,4,3084,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
64,mimi,5,8182,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
65,mimi,6,18422,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
66,mimi,7,36912,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
67,mimi,8,25404,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
68,mimi,9,21657,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
69,mimi,10,8992,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
70,mimi,11,974,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
71,mimi,12,756,SD,Minuteman Missile National Historic Site,43.89558013,-102.0272131
72,mnrr,1,3772,SD,Missouri National Recreational River,42.7882189,-97.59077822
