Date,CA,CO,FL,MA,MN,NY,OH,TX,WA
2020-02-01,3.447,2.574,2.403,2.584,2.325,2.604,2.374,2.161,2.994
2020-01-01,3.489,2.708,2.529,2.648,2.435,2.706,2.52,2.292,3.029
2019-12-01,3.61,2.843,2.496,2.627,2.418,2.67,2.61,2.285,3.163
2019-11-01,3.944,2.89,2.426,2.631,2.486,2.675,2.529,2.299,3.348
2019-10-01,4.116,2.822,2.46,2.638,2.52,2.676,2.563,2.324,3.294
2019-09-01,3.687,2.692,2.472,2.661,2.533,2.728,2.595,2.358,3.134
2019-08-01,3.555,2.608,2.451,2.746,2.572,2.822,2.631,2.405,3.17
2019-07-01,3.668,2.733,2.641,2.779,2.622,2.868,2.754,2.52,3.242
2019-06-01,3.787,2.876,2.542,2.791,2.64,2.86,2.61,2.437,3.392
2019-05-01,4.019,2.92,2.709,2.894,2.745,2.967,2.715,2.602,3.513
2019-04-01,3.894,2.729,2.769,2.725,2.714,2.84,2.675,2.589,3.313
2019-03-01,3.342,2.398,2.577,2.516,2.478,2.622,2.461,2.33,2.905
2019-02-01,3.236,2.131,2.316,2.433,2.178,2.47,2.256,2.08,2.818
