Name,Population,Latitude,Longitude,StateCode,FullName,UnitCode,UnitName
Puerto Rico,3468963.0,18.2001,-66.6645,Puerto Rico,,,
Alabama,4850771.0,32.7794,-86.8287,AL,Birmingham Civil Rights National Monument,BICR,Birmingham Civil Rights
Alabama,4850771.0,32.7794,-86.8287,AL,Freedom Riders National Monument,FRRI,Freedom Riders
Alabama,4850771.0,32.7794,-86.8287,AL,Horseshoe Bend National Military Park,HOBE,Horseshoe Bend
Alabama,4850771.0,32.7794,-86.8287,AL,Little River Canyon National Preserve,LIRI,Little River Canyon
Alabama,4850771.0,32.7794,-86.8287,AL,Natchez Trace Parkway,NATR,Natchez Trace Parkway
Alabama,4850771.0,32.7794,-86.8287,AL,Natchez Trace National Scenic Trail,NATT,Natchez Trace
Alabama,4850771.0,32.7794,-86.8287,AL,Russell Cave National Monument,RUCA,Russell Cave
Alabama,4850771.0,32.7794,-86.8287,AL,Selma To Montgomery National Historic Trail ,SEMO,Selma To Montgomery
Alabama,4850771.0,32.7794,-86.8287,AL,Trail of Tears National Historic Trail ,TRTE,Trail of Tears
Alabama,4850771.0,32.7794,-86.8287,AL,Tuskegee Airmen National Historic Site,TUAI,Tuskegee Airmen
Alabama,4850771.0,32.7794,-86.8287,AL,Tuskegee Institute National Historic Site,TUIN,Tuskegee Institute
Alaska,738565.0,64.0685,-152.2782,AK,Alaska Region Office ,AKRO,Alaska Region Office
Alaska,738565.0,64.0685,-152.2782,AK,Alagnak Wild River,ALAG,Alagnak Wild River
Alaska,738565.0,64.0685,-152.2782,AK,Aleutian Islands World War II National Monument,ALEU,Aleutian Islands World War II
Alaska,738565.0,64.0685,-152.2782,AK,Aniakchak National Monument and Preserve ,ANIA,Aniakchak
Alaska,738565.0,64.0685,-152.2782,AK,Aniakchak National Monument,ANIG,Aniakchak
Alaska,738565.0,64.0685,-152.2782,AK,Aniakchak National Preserve,ANIP,Aniakchak
Alaska,738565.0,64.0685,-152.2782,AK,Bering Land Bridge National Preserve,BELA,Bering Land Bridge
Alaska,738565.0,64.0685,-152.2782,AK,Cape Krusenstern National Monument,CAKR,Cape Krusenstern
Alaska,738565.0,64.0685,-152.2782,AK,Denali National Park and Preserve ,DENA,Denali
Alaska,738565.0,64.0685,-152.2782,AK,Denali National Park,DENG,Denali
Alaska,738565.0,64.0685,-152.2782,AK,Denali National Preserve,DENP,Denali
Alaska,738565.0,64.0685,-152.2782,AK,Gates of the Arctic National Park,GAAG,Gates of the Arctic
Alaska,738565.0,64.0685,-152.2782,AK,Gates of the Arctic National Preserve,GAAP,Gates of the Arctic
Alaska,738565.0,64.0685,-152.2782,AK,Gates of the Arctic National Park and Preserve ,GAAR,Gates of the Arctic
Alaska,738565.0,64.0685,-152.2782,AK,Glacier Bay National Park and Preserve ,GLBA,Glacier Bay
Alaska,738565.0,64.0685,-152.2782,AK,Glacier Bay National Park,GLBG,Glacier Bay
Alaska,738565.0,64.0685,-152.2782,AK,Glacier Bay National Preserve,GLBP,Glacier Bay
Alaska,738565.0,64.0685,-152.2782,AK,Inupiat Heritage Center ,INUP,Inupiat Heritage Center
Alaska,738565.0,64.0685,-152.2782,AK,Katmai National Park,KATG,Katmai
Alaska,738565.0,64.0685,-152.2782,AK,Katmai National Park and Preserve ,KATM,Katmai
Alaska,738565.0,64.0685,-152.2782,AK,Katmai National Preserve,KATP,Katmai
Alaska,738565.0,64.0685,-152.2782,AK,Kenai Fjords National Park,KEFJ,Kenai Fjords
Alaska,738565.0,64.0685,-152.2782,AK,Klondike Gold Rush National Historical Park,KLGO,Klondike Gold Rush
Alaska,738565.0,64.0685,-152.2782,AK,Kobuk Valley National Park,KOVA,Kobuk Valley
Alaska,738565.0,64.0685,-152.2782,AK,Lake Clark National Park,LACG,Lake Clark
Alaska,738565.0,64.0685,-152.2782,AK,Lake Clark National Park and Preserve ,LACL,Lake Clark
Alaska,738565.0,64.0685,-152.2782,AK,Lake Clark National Preserve,LACP,Lake Clark
Alaska,738565.0,64.0685,-152.2782,AK,Noatak National Preserve,NOAT,Noatak
Alaska,738565.0,64.0685,-152.2782,AK,Northwest Alaska Areas Management Unit ,NWAK,Northwest Alaska Areas Management Unit
Alaska,738565.0,64.0685,-152.2782,AK,Sitka National Historical Park,SITK,Sitka
Alaska,738565.0,64.0685,-152.2782,AK,World War II Valor in the Pacific National Monument,VALR,World War II Valor in the Pacific
Alaska,738565.0,64.0685,-152.2782,AK,Western Arctic National Parklands ,WEAR,Western Arctic National Parklands
Alaska,738565.0,64.0685,-152.2782,AK,Wrangell-St. Elias National Park,WRSG,Wrangell-St. Elias
Alaska,738565.0,64.0685,-152.2782,AK,Wrangell - St Elias National Preserve,WRSP,Wrangell - St Elias
Alaska,738565.0,64.0685,-152.2782,AK,Wrangell - St Elias National Park and Preserve ,WRST,Wrangell - St Elias
Alaska,738565.0,64.0685,-152.2782,AK,Yukon-Charley Rivers National Preserve,YUCH,Yukon-Charley Rivers
Arizona,6809946.0,34.2744,-111.6602,AZ,Canyon De Chelly National Monument,CACH,Canyon De Chelly
Arizona,6809946.0,34.2744,-111.6602,AZ,Casa Grande Ruins National Monument,CAGR,Casa Grande Ruins
Arizona,6809946.0,34.2744,-111.6602,AZ,Chiricahua National Monument,CHIR,Chiricahua
Arizona,6809946.0,34.2744,-111.6602,AZ,Coronado National Memorial,CORO,Coronado
Arizona,6809946.0,34.2744,-111.6602,AZ,Fort Bowie National Historic Site,FOBO,Fort Bowie
Arizona,6809946.0,34.2744,-111.6602,AZ,Glen Canyon National Recreation Area,GLCA,Glen Canyon
Arizona,6809946.0,34.2744,-111.6602,AZ,Grand Canyon National Park,GRCA,Grand Canyon
Arizona,6809946.0,34.2744,-111.6602,AZ,Hubbell Trading Post National Historic Site,HUTR,Hubbell Trading Post
Arizona,6809946.0,34.2744,-111.6602,AZ,Juan Bautista De Anza National Historic Trail ,JUBA,Juan Bautista De Anza
Arizona,6809946.0,34.2744,-111.6602,AZ,Lake Mead National Recreation Area,LAKE,Lake Mead
