State ,Regular ,Mid-Grade ,Premium ,Diesel 
Alaska,$2.88 ,$2.98 ,$3.14 ,$2.90 
Alabama,$2.03 ,$2.39 ,$2.71 ,$2.62 
Arkansas,$2.04 ,$2.36 ,$2.64 ,$2.53 
Arizona,$2.68 ,$2.97 ,$3.20 ,$2.90 
California,$3.36 ,$3.56 ,$3.67 ,$3.75 
Colorado,$2.21 ,$2.52 ,$2.79 ,$2.60 
Connecticut,$2.44 ,$2.83 ,$3.04 ,$3.01 
District of Columbia,$2.46 ,$3.01 ,$3.12 ,$3.03 
Delaware,$2.16 ,$2.58 ,$2.81 ,$2.52 
Florida,$2.19 ,$2.56 ,$2.85 ,$2.66 
Georgia,$2.10 ,$2.46 ,$2.76 ,$2.75 
Hawaii,$3.53 ,$3.70 ,$3.91 ,$4.18 
Iowa,$2.10 ,$2.29 ,$2.66 ,$2.55 
Idaho,$2.54 ,$2.72 ,$2.89 ,$2.93 
Illinois,$2.34 ,$2.76 ,$3.15 ,$2.72 
Indiana,$2.02 ,$2.37 ,$2.68 ,$2.76 
Kansas,$2.04 ,$2.32 ,$2.54 ,$2.48 
Kentucky,$2.04 ,$2.42 ,$2.72 ,$2.60 
Louisiana,$2.02 ,$2.37 ,$2.67 ,$2.53 
Massachusetts,$2.35 ,$2.70 ,$2.90 ,$2.86 
Maryland,$2.26 ,$2.70 ,$2.93 ,$2.66 
Maine,$2.26 ,$2.61 ,$2.85 ,$2.84 
Michigan,$2.06 ,$2.46 ,$2.79 ,$2.76 
Minnesota,$2.16 ,$2.45 ,$2.74 ,$2.71 
Missouri,$2.01 ,$2.29 ,$2.55 ,$2.45 
Mississippi,$2.00 ,$2.33 ,$2.65 ,$2.49 
Montana,$2.35 ,$2.56 ,$2.83 ,$2.56 
North Carolina,$2.10 ,$2.46 ,$2.77 ,$2.66 
North Dakota,$2.20 ,$2.43 ,$2.68 ,$2.61 
Nebraska,$2.20 ,$2.33 ,$2.68 ,$2.55 
New Hampshire,$2.29 ,$2.67 ,$2.92 ,$2.80 
New Jersey,$2.38 ,$2.79 ,$2.97 ,$2.81 
New Mexico,$2.19 ,$2.48 ,$2.72 ,$2.68 
Nevada,$2.84 ,$3.04 ,$3.22 ,$3.00 
New York,$2.51 ,$2.84 ,$3.05 ,$3.05 
Ohio,$2.03 ,$2.41 ,$2.75 ,$2.70 
Oklahoma,$1.97 ,$2.24 ,$2.44 ,$2.37 
Oregon,$2.93 ,$3.13 ,$3.30 ,$3.09 
Pennsylvania,$2.49 ,$2.82 ,$3.09 ,$3.04 
Rhode Island,$2.37 ,$2.72 ,$2.93 ,$2.92 
South Carolina,$1.99 ,$2.36 ,$2.65 ,$2.55 
South Dakota,$2.26 ,$2.36 ,$2.71 ,$2.65 
Tennessee,$2.07 ,$2.42 ,$2.74 ,$2.64 
Texas,$1.98 ,$2.33 ,$2.60 ,$2.45 
Utah,$2.50 ,$2.65 ,$2.82 ,$2.82 
Virginia,$2.08 ,$2.49 ,$2.78 ,$2.63 
Vermont,$2.43 ,$2.79 ,$3.06 ,$2.90 
Washington,$3.03 ,$3.28 ,$3.42 ,$3.17 
Wisconsin,$2.11 ,$2.50 ,$2.86 ,$2.62 
West Virginia,$2.23 ,$2.50 ,$2.79 ,$2.67 
Wyoming,$2.40 ,$2.61 ,$2.83 ,$2.79 
