UnitCode,Month,Visitors
ACAD,0,8532
ACAD,1,9154
ACAD,2,20161
ACAD,3,68046
ACAD,4,226156
ACAD,5,490720
ACAD,6,756439
ACAD,7,759735
ACAD,8,603273
ACAD,9,436194
ACAD,10,46011
ACAD,11,12865
ARCH,0,21499
ARCH,1,30239
ARCH,2,132191
ARCH,3,168788
ARCH,4,217474
ARCH,5,225206
ARCH,6,208993
ARCH,7,184890
ARCH,8,207857
ARCH,9,149764
ARCH,10,73420
ARCH,11,39381
BADL,0,8981
BADL,1,8059
BADL,2,16517
BADL,3,25083
BADL,4,71885
BADL,5,201516
BADL,6,250898
BADL,7,207743
BADL,8,118262
BADL,9,37727
BADL,10,15450
BADL,11,8877
BIBE,0,29318
BIBE,1,43129
BIBE,2,83826
BIBE,3,49312
BIBE,4,37411
BIBE,5,21228
BIBE,6,21747
BIBE,7,17238
BIBE,8,21246
BIBE,9,42724
BIBE,10,50688
BIBE,11,45965
BISC,0,50873
BISC,1,59754
BISC,2,76685
BISC,3,64172
BISC,4,79779
BISC,5,65173
BISC,6,60239
BISC,7,46191
BISC,8,46723
BISC,9,38582
BISC,10,59948
BISC,11,60403
BLCA,0,4921
BLCA,1,6369
BLCA,2,12180
BLCA,3,25077
BLCA,4,75198
BLCA,5,75289
BLCA,6,51368
BLCA,7,80046
BLCA,8,48420
BLCA,9,25828
BLCA,10,22684
BLCA,11,5438
BRCA,0,36860
BRCA,1,29813
BRCA,2,75853
BRCA,3,207061
BRCA,4,327975
BRCA,5,398290
BRCA,6,401970
BRCA,7,383458
BRCA,8,392428
BRCA,9,232094
BRCA,10,65748
BRCA,11,43354
CANY,0,7146
CANY,1,9705
CANY,2,60792
CANY,3,89861
CANY,4,114464
CANY,5,92295
CANY,6,64672
CANY,7,69297
CANY,8,97817
CANY,9,82642
CANY,10,31582
CANY,11,13723
CARE,0,11893
CARE,1,12368
CARE,2,73416
CARE,3,147156
CARE,4,196840
CARE,5,151410
CARE,6,129372
CARE,7,127341
CARE,8,170057
CARE,9,146664
CARE,10,42859
CARE,11,17143
CAVE,0,3093
CAVE,1,19470
CAVE,2,56581
CAVE,3,37543
CAVE,4,41516
CAVE,5,57111
CAVE,6,69444
CAVE,7,36354
CAVE,8,28455
CAVE,9,33014
CAVE,10,27519
CAVE,11,30591
CHIS,0,9193
CHIS,1,22263
CHIS,2,34951
