UnitCode,Month,Visitors
HOBE,0,96
HOBE,1,1961
HOBE,2,6644
HOBE,3,3756
HOBE,4,6528
HOBE,5,5381
HOBE,6,8193
HOBE,7,3853
HOBE,8,2387
HOBE,9,2348
HOBE,10,2122
HOBE,11,2103
LIRI,0,25235
LIRI,1,39220
LIRI,2,54924
LIRI,3,57552
LIRI,4,81555
LIRI,5,75544
LIRI,6,80614
LIRI,7,58004
LIRI,8,55090
LIRI,9,41284
LIRI,10,38498
LIRI,11,42466
NATR,0,485642
NATR,1,472579
NATR,2,550701
NATR,3,560343
NATR,4,540971
NATR,5,562198
NATR,6,578598
NATR,7,536957
NATR,8,562171
NATR,9,518106
NATR,10,469752
NATR,11,458023
RUCA,0,194
RUCA,1,1088
RUCA,2,1739
RUCA,3,1530
RUCA,4,2234
RUCA,5,1777
RUCA,6,1705
RUCA,7,1085
RUCA,8,1240
RUCA,9,2021
RUCA,10,1315
RUCA,11,714
TUAI,0,126
TUAI,1,2391
TUAI,2,3801
TUAI,3,3351
TUAI,4,3181
TUAI,5,3195
TUAI,6,3610
TUAI,7,1814
TUAI,8,2073
TUAI,9,2171
TUAI,10,3217
TUAI,11,1167
TUIN,0,423
TUIN,1,3380
TUIN,2,6654
TUIN,3,7149
TUIN,4,1774
TUIN,5,3009
TUIN,6,3918
TUIN,7,1256
TUIN,8,1546
TUIN,9,3849
TUIN,10,2576
TUIN,11,861
ANIA,0,0
ANIA,1,0
ANIA,2,0
ANIA,3,0
ANIA,4,0
ANIA,5,20
ANIA,6,35
ANIA,7,35
ANIA,8,10
ANIA,9,0
ANIA,10,0
ANIA,11,0
BELA,0,260
BELA,1,127
BELA,2,292
BELA,3,216
BELA,4,172
BELA,5,148
BELA,6,438
BELA,7,156
BELA,8,61
BELA,9,422
BELA,10,182
BELA,11,168
CAKR,0,1098
CAKR,1,835
CAKR,2,634
CAKR,3,708
CAKR,4,778
CAKR,5,1398
CAKR,6,1700
CAKR,7,1670
CAKR,8,1438
CAKR,9,1687
CAKR,10,2569
CAKR,11,1711
DENA,0,96
DENA,1,2603
DENA,2,4613
DENA,3,3686
DENA,4,53995
DENA,5,144156
DENA,6,168078
DENA,7,154044
DENA,8,61504
DENA,9,3863
DENA,10,1799
DENA,11,2715
GAAR,0,0
GAAR,1,0
GAAR,2,74
GAAR,3,91
GAAR,4,454
GAAR,5,647
GAAR,6,2852
GAAR,7,5399
GAAR,8,966
GAAR,9,35
GAAR,10,0
GAAR,11,0
GLBA,0,173
GLBA,1,173
GLBA,2,195
GLBA,3,3642
GLBA,4,121332
GLBA,5,132054
GLBA,6,152932
GLBA,7,145002
GLBA,8,111922
GLBA,9,4319
GLBA,10,172
GLBA,11,171
KATM,0,100
KATM,1,100
KATM,2,100
KATM,3,100
KATM,4,100
KATM,5,9690
KATM,6,37318
KATM,7,23772
KATM,8,12587
KATM,9,100
KATM,10,100
KATM,11,100
KEFJ,0,21
KEFJ,1,37
KEFJ,2,40
KEFJ,3,21
KEFJ,4,28944
KEFJ,5,91280
KEFJ,6,120632
KEFJ,7,78129
KEFJ,8,33346
KEFJ,9,4121
KEFJ,10,7
KEFJ,11,23
KLGO,0,0
KLGO,1,6
KLGO,2,12
KLGO,3,2
KLGO,4,233882
KLGO,5,250151
KLGO,6,266219
KLGO,7,219853
KLGO,8,145778
KLGO,9,1
KLGO,10,52
KLGO,11,205
KOVA,0,1098
KOVA,1,695
KOVA,2,764
KOVA,3,808
KOVA,4,778
KOVA,5,1398
KOVA,6,1750
KOVA,7,1770
KOVA,8,1538
KOVA,9,1987
KOVA,10,1569
KOVA,11,1611
LACL,0,0
LACL,1,0
LACL,2,0
LACL,3,0
LACL,4,367
LACL,5,3751
LACL,6,5114
LACL,7,5580
LACL,8,2345
LACL,9,0
LACL,10,0
LACL,11,0
NOAT,0,898
NOAT,1,895
NOAT,2,764
NOAT,3,808
NOAT,4,978
NOAT,5,1398
NOAT,6,1750
NOAT,7,1720
NOAT,8,1538
NOAT,9,1787
NOAT,10,2669
NOAT,11,2011
SITK,0,310
SITK,1,4169
SITK,2,5819
SITK,3,4534
SITK,4,29048
SITK,5,45134
SITK,6,51359
SITK,7,47134
SITK,8,31386
SITK,9,6476
SITK,10,4408
SITK,11,3099
VALR,0,127852
VALR,1,122379
VALR,2,144685
VALR,3,139925
VALR,4,137527
VALR,5,150832
VALR,6,159687
VALR,7,147461
VALR,8,144656
VALR,9,149796
VALR,10,136920
VALR,11,154815
WRST,0,25
WRST,1,95
WRST,2,230
WRST,3,520
WRST,4,4572
WRST,5,16445
WRST,6,23372
WRST,7,20779
WRST,8,7855
WRST,9,530
WRST,10,60
WRST,11,35
YUCH,0,6
YUCH,1,72
YUCH,2,46
YUCH,3,37
YUCH,4,14
YUCH,5,182
YUCH,6,354
YUCH,7,246
YUCH,8,157
YUCH,9,0
YUCH,10,0
YUCH,11,0
CACH,0,20409
CACH,1,20192
CACH,2,35139
CACH,3,18779
CACH,4,50574
CACH,5,44751
CACH,6,46786
CACH,7,51391
CACH,8,43466
CACH,9,39810
CACH,10,52740
CACH,11,36720
CAGR,0,1606
CAGR,1,12240
CAGR,2,14582
CAGR,3,6509
CAGR,4,4565
CAGR,5,3203
CAGR,6,2663
CAGR,7,2119
CAGR,8,3026
CAGR,9,4956
CAGR,10,5731
CAGR,11,7179
CHIR,0,2083
CHIR,1,5719
CHIR,2,12479
CHIR,3,9002
CHIR,4,6250
CHIR,5,2899
CHIR,6,2763
CHIR,7,2532
CHIR,8,2574
CHIR,9,5351
CHIR,10,4612
CHIR,11,4391
CORO,0,8046
CORO,1,5505
CORO,2,14045
CORO,3,8739
CORO,4,9526
CORO,5,7218
CORO,6,7386
CORO,7,12838
CORO,8,11072
CORO,9,7592
CORO,10,12309
CORO,11,26052
FOBO,0,445
FOBO,1,989
FOBO,2,1488
FOBO,3,945
FOBO,4,555
FOBO,5,401
FOBO,6,203
FOBO,7,178
FOBO,8,394
FOBO,9,605
FOBO,10,651
FOBO,11,723
GLCA,0,93477
GLCA,1,85411
GLCA,2,198242
GLCA,3,409809
GLCA,4,485027
GLCA,5,739411
GLCA,6,794257
GLCA,7,581598
GLCA,8,303009
GLCA,9,361918
GLCA,10,179137
GLCA,11,99267
GRCA,0,225056
GRCA,1,213050
GRCA,2,451228
GRCA,3,562265
GRCA,4,618598
GRCA,5,643821
GRCA,6,756860
GRCA,7,700896
GRCA,8,578852
GRCA,9,551558
GRCA,10,347847
GRCA,11,324380
HUTR,0,78
HUTR,1,653
HUTR,2,2675
HUTR,3,4664
HUTR,4,6502
HUTR,5,6590
HUTR,6,7388
HUTR,7,2800
HUTR,8,5572
HUTR,9,5660
HUTR,10,740
HUTR,11,6963
LAKE,0,463711
LAKE,1,532361
